POINTID,ZIPCODE,LATITUDE,LONGITUDE,POINTTYPE,TESTCENTERID,TCTYPE,INSTITUTION,POPULATION,ave_u,ave_ca,ave_as,ave_e
358508,33853,27.903734,-81.548805,TESTCENTER,2266599,HIGH SCHOOL,LAKE WALES HIGH SCHOOL,,0.497030501,255,126.7427778,787.5205556
358509,33853,27.903734,-81.548805,TESTCENTER,2268361,OTHER,VANGUARD SCHOOL,,0.246348204,126.65,31.2,587.7483333
358510,33877,27.9857551,-81.612232,ZIP,,,,12,0,0,0,0
358511,33838,28.0194418,-81.6140475,ZIP,,,,276,0,0,0,0
358512,33851,28.0446356,-81.6238928,ZIP,,,,72,0,0,0,0
358513,33850,28.1223755,-81.73266,ZIP,,,,428,0,0,0,0
358514,33881,28.0564473,-81.7116442,ZIP,,,,1727,0,0,0,0
358515,33897,28.285129,-81.6884643,ZIP,,,,788,0,0,0,0
358516,33844,28.095073,-81.614712,TESTCENTER,2271293,HIGH SCHOOL,HAINES CITY HIGH SCHOOL,,0.440095316,408,179.5588889,1539.315556
358517,33844,28.0890644,-81.5899383,ZIP,,,,2172,0,0,0,0
358518,33837,28.196265,-81.607912,TESTCENTER,2271645,HIGH SCHOOL,RIDGE COMMUNITY HIGH SCHOOL,,0.423645325,478.8333333,203.2766667,1538.716667
358519,34747,28.29,-81.62,TESTCENTER,2272370,HIGH SCHOOL,CELEBRATION HIGH SCHOOL,,0.54623645,347.8388889,189.9733333,1076.912222
358520,34747,28.3114952,-81.5955654,ZIP,,,,969,0,0,0,0
358521,33837,28.1947722,-81.5875102,ZIP,,,,1215,0,0,0,0
358522,33896,28.2569051,-81.5828501,ZIP,,,,411,0,0,0,0
358523,33827,27.8158905,-81.5086468,ZIP,,,,337,0,0,0,0
358524,33856,27.8563537,-81.428375,ZIP,,,,0,0,0,0,0
358525,33854,27.8564396,-81.4101064,ZIP,,,,4,0,0,0,0
358526,33898,27.8408091,-81.3729643,ZIP,,,,910,0,0,0,0
358527,34759,28.1039078,-81.419378,ZIP,,,,2194,0,0,0,0
358528,34758,28.1920678,-81.4854277,ZIP,,,,3032,0,0,0,0
358529,34758,28.198436,-81.487014,TESTCENTER,2271448,HIGH SCHOOL,PLEASANT HILL ACADEMY,,0.365249059,340.53125,124.55625,1662.52625
358530,33848,28.2833769,-81.5052619,ZIP,,,,125,0,0,0,0
358531,34758,28.25,-81.48,TESTCENTER,2266659,HIGH SCHOOL,POINCIANA HIGH SCHOOL,,0.546924241,580.8333333,316.5355556,2030.551111
358532,34746,28.2388255,-81.4453455,ZIP,,,,2768,0,0,0,0
358533,34741,28.28,-81.42,TESTCENTER,2266653,HIGH SCHOOL,OSCEOLA HIGH SCHOOL,,0.66170229,340.7555556,225.5138889,1502.166111
358534,34741,28.3063705,-81.42706,ZIP,,,,2820,0,0,0,0
